file,name,complexity
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,Projects.post_save,30
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,Projects,8
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,visit,5
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,dict_wo_nans,4
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,ProviderEmailField,4
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,ProviderEmailValidator,4
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,Projects.update_columns_by_flat,4
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,ProviderEmailField.validate,3
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,ProviderEmailValidator.__call__,3
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,Column,3
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,ProviderEmail,2
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,Column.__eq__,2
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,ProviderEmail.__init__,1
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,Reference,1
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,Stats,1
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,Projects.objects,1
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,Projects.atlas_filter,1
c:/src/pylint-intervention/data/after/MPContribs\mpcontribs-api_slash_mpcontribs_slash_api_slash_projects_slash_document.py,Projects.post_delete,1
