LOC,LLOC,SLOC,N1,N2,McCabe_max,McCabe_sum,path
244,175,184,25,45,19,50,bioconda_utils\artifacts.py
1836,645,1145,143,276,17,175,versioneer.py
1317,559,776,106,195,32,185,bioconda_utils\bioconductor_skeleton.py
666,406,401,60,103,13,138,bioconda_utils\githandler.py
538,289,369,51,90,22,105,bioconda_utils\build.py
367,148,198,25,46,10,41,bioconda_utils\update_pinnings.py
826,513,493,106,190,12,175,bioconda_utils\recipe.py
1660,844,953,138,256,13,300,bioconda_utils\utils.py
1126,593,894,114,199,35,155,bioconda_utils\cli.py
1231,748,746,105,179,22,318,bioconda_utils\autobump.py
