LOC,LLOC,SLOC,N1,N2,McCabe_max,McCabe_sum,path
326,200,245,95,171,23.0,91.0,src\acquisition\quidel\quidel.py
93,44,61,7,14,10.0,12.0,src\server\endpoints\sensors.py
278,107,173,20,34,7.0,8.0,src\acquisition\cdcp\cdc_upload.py
273,198,188,38,66,7.0,75.0,src\server\_printer.py
299,134,202,29,57,10.0,33.0,src\acquisition\paho\paho_db_update.py
83,50,55,10,17,5.0,6.0,src\maintenance\covidcast_meta_cache_updater.py
416,244,261,100,171,29.0,83.0,src\acquisition\covidcast\csv_importer.py
133,73,106,17,34,10.0,31.0,src\server\_limiter.py
511,242,295,31,58,13.0,48.0,src\server\covidcast_issues_migration\proc_db_backups_pd.py
69,40,55,2,4,3.0,8.0,src\maintenance\remove_outdated_keys.py
284,122,159,22,44,20.0,41.0,src\acquisition\covid_hosp\common\database.py
156,8,148,2,4,1.0,1.0,src\acquisition\wiki\wiki_util.py
341,129,162,13,23,7.0,34.0,src\acquisition\fluview\impute_missing_values.py
87,57,72,20,40,18.0,30.0,scripts\report_missing_covidcast_meta.py
174,58,73,5,9,7.0,11.0,src\acquisition\nidss\taiwan_update.py
718,437,486,163,333,12.0,171.0,src\client\delphi_epidata.py
26,16,16,0,0,1.0,2.0,src\server\endpoints\fluview_meta.py
556,398,414,101,190,35.0,88.0,src\server\endpoints\covidcast.py
108,61,71,23,42,6.0,14.0,src\server\endpoints\covidcast_meta.py
1,1,1,0,0,,,src\server\utils\__init__.py
38,24,31,1,2,2.0,2.0,src\maintenance\update_last_usage.py
174,62,106,16,32,8.0,21.0,src\acquisition\ght\google_health_trends.py
68,32,55,0,0,6.0,6.0,src\server\endpoints\covid_hosp_facility_lookup.py
30,22,22,0,0,2.0,3.0,src\server\_pandas.py
36,40,30,3,6,5.0,13.0,src\server\endpoints\covidcast_utils\meta.py
187,97,123,13,25,7.0,19.0,src\acquisition\kcdc\kcdc_update.py
354,193,257,49,97,28.0,49.0,src\acquisition\wiki\wiki_download.py
90,60,66,8,15,3.0,6.0,src\server\main.py
38,24,27,2,3,3.0,17.0,src\server\_exceptions.py
520,276,384,51,94,25.0,124.0,src\server\_query.py
277,105,211,23,45,9.0,37.0,src\acquisition\twtr\healthtweets.py
284,177,209,21,38,9.0,39.0,src\maintenance\signal_dash_data_generator.py
159,26,142,0,0,2.0,2.0,src\server\endpoints\covid_hosp_facility.py
426,109,303,35,70,20.0,33.0,src\acquisition\ght\ght_update.py
32,22,22,0,0,2.0,2.0,src\server\endpoints\delphi.py
150,97,94,14,28,4.0,27.0,src\common\covidcast_row.py
254,127,130,31,55,16.0,56.0,src\acquisition\covid_hosp\common\utils.py
