file,name,complexity
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,reports_ajax,22
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,fact_ajax,18
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,radiator,11
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,facts,9
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,query,9
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,fact,6
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,catalogs_ajax,6
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,inventory_ajax,5
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,metrics,5
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,inventory_facts,3
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,report,3
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,offline_static,3
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,node,2
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,catalogs,2
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,catalog_node,2
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,catalog_compare,2
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,version,1
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,utility_processor,1
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,inventory,1
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,reports,1
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,metric,1
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,daily_reports_chart,1
c:/src/pylint-intervention/data/in_the_wild\versions/puppetboard/2af188fb2d5167d62b92f2e2161042b3697256a1/before/puppetboard_slash_app.py,health_status,1
